pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,0,3.5951,0.0003,-0.0003,0.0,0.047,0.005,-0.007,0.0,1.95,0.09,-0.08,0.0,0.174,0.008,-0.007,0.0,8.75,1.09,-1.08,0.0,0.02753,0.00343,-0.0034,0.0,Mass,0.06,0.08,-0.04,0.0,1037.0,482.0,-207.0,0.0,1616.0,149.0,-79.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,0,15.624,0.001,-0.001,0.0,0.13,0.01,-0.02,0.0,3.67,0.17,-0.14,0.0,0.327,0.015,-0.012,0.0,14.67,1.84,-1.89,0.0,0.04616,0.00579,-0.00595,0.0,Mass,0.07,0.08,-0.05,0.0,160.0,68.0,-29.0,0.0,990.0,92.0,-49.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,0,35.747,0.005,-0.005,0.0,0.22,0.02,-0.04,0.0,3.94,0.13,-0.12,0.0,0.352,0.012,-0.011,0.0,10.18,2.46,-2.42,0.0,0.03203,0.00774,-0.00761,0.0,Mass,0.15,0.21,-0.11,0.0,53.0,23.0,-10.0,0.0,752.0,69.0,-37.0,0.0,0,G8 IV/V,5430.0,85.0,-85.0,0.0,1.71,0.04,-0.04,0.0,1.05,0.05,-0.05,0.0,0.2,0.05,-0.05,0.0,[Fe/H],3.99,0.03,-0.03,0.0,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.296,4.189,-4.085,11.429,0.022,-0.022,9.714,0.023,-0.023,11.4019,0.000495,-0.000495
GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,0,1.62892911,2.9e-07,-3e-07,0.0,0.0157,0.00013,-0.00013,0.0,1.192,0.038,-0.045,0.0,0.106,0.003,-0.004,0.0,1.83705,0.1907,-0.18752,0.0,0.00578,0.0006,-0.00059,0.0,Mass,0.0118,0.047,-0.0099,0.0,19.3,1.5,-1.1,0.0,584.0,11.0,-8.0,0.0,0,M4.5 V,3229.0,78.0,-62.0,0.0,0.22,0.01,-0.01,0.0,0.19,0.0,0.0,0.0,-0.17,0.15,-0.15,0.0,[Fe/H],5.04,0.03,-0.03,0.0,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613,0.007,-0.007,13.68,0.2,-0.2,8.322,0.027,-0.027,12.138,0.000387,-0.000387
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,0,1.58040453,2e-08,-2e-08,0.0,0.01505,0.00011,-0.00011,0.0,2.733,0.033,-0.031,0.0,0.244,0.003,-0.003,0.0,8.41,0.36,-0.35,0.0,0.02646,0.00113,-0.0011,0.0,Mass,0.0062,0.0079,-0.0044,0.0,17.2,1.0,-0.9,0.0,567.0,8.0,-8.0,0.0,0,M4 V,3101.0,43.0,-43.0,0.0,0.22,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.24,0.11,-0.11,0.0,[Fe/H],5.03,0.01,-0.01,0.0,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,14.6427,0.0372,-0.0372,15.1,0.2,-0.2,8.782,0.02,-0.02,13.0089,0.001061,-0.001061
GJ 367 b,GJ 367,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.3219225,2e-07,-2e-07,0.0,0.00709,0.00027,-0.00027,0.0,0.699,0.024,-0.024,0.0,0.062,0.002,-0.002,0.0,0.633,0.05,-0.05,0.0,0.00199,0.00016,-0.00016,0.0,Mass,0.06,0.07,-0.04,0.0,579.0,57.0,-52.0,0.0,1365.0,32.0,-32.0,0.0,0,M1.0 V,3522.0,70.0,-70.0,0.0,0.46,0.01,-0.01,0.0,0.46,0.01,-0.01,0.0,-0.01,0.12,-0.12,0.0,[Fe/H],4.78,0.03,-0.03,0.0,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065
HAT-P-19 b,HAT-P-19,1,1,Transit,2010,HATNet,0,4.00878322,1.9e-07,-1.9e-07,0.0,0.04599,0.00063,-0.00058,0.0,11.299,0.157,-0.146,0.0,1.008,0.014,-0.013,0.0,88.03847,5.40308,-5.08525,0.0,0.277,0.017,-0.016,0.0,Mass,0.07,0.04,-0.04,0.0,154.0,5.0,-5.0,0.0,981.0,8.0,-8.0,0.0,0,K1,4962.0,39.0,-41.0,0.0,0.77,0.01,-0.01,0.0,0.81,0.03,-0.03,0.0,0.166,0.07,-0.068,0.0,[Fe/H],4.57,0.01,-0.01,0.0,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,202.078,1.471,-1.451,12.826,0.057,-0.057,10.546,0.019,-0.019,12.5567,0.000238,-0.000238
HAT-P-25 b,HAT-P-25,1,1,Transit,2010,HATNet,0,3.65281514,7.6e-07,-7.5e-07,0.0,0.0466,0.00081,-0.0008,0.0,12.722,0.538,-0.538,0.0,1.135,0.048,-0.048,0.0,180.84527,7.31009,-6.99226,0.0,0.569,0.023,-0.022,0.0,Mass,0.023,0.022,-0.014,0.0,325.0,29.0,-26.0,0.0,1182.0,25.0,-25.0,0.0,0,G5,5519.0,78.0,-76.0,0.0,0.92,0.03,-0.03,0.0,1.01,0.05,-0.05,0.0,0.294,0.08,-0.08,0.0,[Fe/H],4.52,0.03,-0.03,0.0,03h13m44.51s,48.4354731,+25d11m50.48s,25.1973548,300.384,4.3,-4.182,13.146,0.092,-0.092,10.815,0.018,-0.018,12.8416,0.000244,-0.000244
HAT-P-36 b,HAT-P-36,1,1,Transit,2011,HATNet,0,1.32734683,4.8e-07,-4.8e-07,0.0,0.0241,0.00047,-0.00047,0.0,14.314,0.224,-0.224,0.0,1.277,0.02,-0.02,0.0,587.41341,27.65121,-27.65121,0.0,1.8482,0.087,-0.087,0.0,Mass,0.063,0.021,-0.023,0.0,1821.0,27.0,-27.0,0.0,1781.0,19.0,-19.0,0.0,0,G5 V,5620.0,40.0,-40.0,0.0,1.04,0.01,-0.01,0.0,1.03,0.03,-0.03,0.0,0.25,0.09,-0.09,0.0,[Fe/H],4.42,0.01,-0.01,0.0,12h33m03.89s,188.2662048,+44d54m55.32s,44.9153672,294.419,2.269,-2.235,12.146,0.025,-0.025,10.603,0.021,-0.021,12.093,0.000533,-0.000533
HAT-P-9 b,HAT-P-9,1,1,Transit,2008,HATNet,0,3.92281072,1.02e-06,-1.02e-06,0.0,0.05287,0.00078,-0.00078,0.0,15.614,0.751,-0.729,0.0,1.393,0.067,-0.065,0.0,238.05467,20.34112,-20.02329,0.0,0.749,0.064,-0.063,0.0,Mass,0.084,0.052,-0.047,0.0,931.0,73.0,-69.0,0.0,1540.0,32.0,-30.0,0.0,0,F7,6350.0,150.0,-150.0,0.0,1.34,0.07,-0.06,0.0,1.28,0.06,-0.06,0.0,0.12,0.2,-0.2,0.0,[Fe/H],4.29,0.03,-0.04,0.0,07h20m40.44s,110.1685157,+37d08m26.14s,37.1405946,455.203,8.968,-8.635,12.344,0.047,-0.047,11.015,0.021,-0.021,12.1536,0.000227,-0.000227
